date,BRVM-COMPOSITE,BRVM-FINANCES,CAC_40,S&P_500
2014-01-27,245.29,83.06,4144.56005859375,1781.56005859375
2014-01-28,247.01,81.66,4185.2900390625,1792.5
2014-01-29,248.12,82.66,4156.97998046875,1774.199951171875
2014-01-30,248.56,83.09,4180.02001953125,1794.18994140625
2014-01-31,246.65,83.18,4165.72021484375,1782.5899658203125
2014-02-03,245.56,82.63,4107.75,1741.8900146484375
2014-02-04,244.85,83.05,4117.4501953125,1755.199951171875
2014-02-05,246.42,83.03,4117.7900390625,1751.6400146484375
2014-02-06,247.01,84.23,4188.10009765625,1773.4300537109375
2014-02-07,246.29,83.08,4228.18017578125,1797.02001953125
2014-02-10,244.94,83.04,4237.1298828125,1799.8399658203125
2014-02-11,246.69,84.09,4283.31982421875,1819.75
2014-02-12,246.34,84.0,4305.5,1819.260009765625
2014-02-13,244.96,84.07,4312.7998046875,1829.8299560546875
2014-02-14,244.58,83.81,4340.14013671875,1838.6300048828125
2014-02-17,244.59,83.77,4335.169921875,
2014-02-18,243.72,84.28,4330.7099609375,1840.760009765625
2014-02-19,244.82,84.28,4341.10009765625,1828.75
2014-02-20,244.78,84.66,4355.490234375,1839.780029296875
2014-02-21,243.4,83.23,4381.06005859375,1836.25
2014-02-24,242.66,84.21,4419.1298828125,1847.6099853515625
2014-02-25,239.04,83.46,4414.5498046875,1845.1199951171875
2014-02-26,235.84,83.12,4396.91015625,1845.1600341796875
2014-02-27,238.13,84.04,4396.39013671875,1854.2900390625
2014-02-28,240.51,82.28,4408.080078125,1859.449951171875
2014-03-03,243.29,83.32,4290.8701171875,1845.72998046875
2014-03-04,243.83,,4395.89990234375,1873.9100341796875
2014-03-05,242.78,,4391.25,1873.81005859375
2014-03-06,244.19,84.27,4417.0400390625,1877.030029296875
2014-03-07,246.37,85.96,4366.419921875,1878.0400390625
2014-03-10,245.08,84.72,4370.83984375,1877.1700439453125
2014-03-11,244.71,83.94,4349.72021484375,1867.6300048828125
2014-03-12,243.97,83.19,4306.259765625,1868.199951171875
2014-03-13,238.13,83.22,4250.509765625,1846.3399658203125
2014-03-14,242.52,83.04,4216.3701171875,1841.1300048828125
2014-03-17,242.21,82.63,4271.9599609375,1858.8299560546875
2014-03-18,240.59,82.58,4313.259765625,1872.25
2014-03-19,240.13,81.36,4308.06005859375,1860.77001953125
2014-03-20,240.81,82.18,4327.91015625,1872.010009765625
2014-03-21,239.76,82.42,4335.27978515625,1866.52001953125
2014-03-24,238.34,81.29,4276.33984375,1857.43994140625
2014-03-25,240.21,81.93,4344.1201171875,1865.6199951171875
2014-03-26,239.95,82.8,4385.14990234375,1852.56005859375
2014-03-27,239.71,82.77,4379.06005859375,1849.0400390625
2014-03-28,240.61,82.65,4411.259765625,1857.6199951171875
2014-03-31,240.39,82.68,4391.5,1872.3399658203125
