dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
CAC 40,BB-R2,1.0,0.05,5.9449,3.676703,0.055178,2.4e-05,1.80911775,2.50187189,6.7121,5.755735,0.016435,0.005744,1.84824293,2.66584557,5.1873,0.076007,0.782784,0.001401,1.77048117,2.29234996
CAC 40,BB-R2,5.0,0.05,6.0416,4.443473,0.035035,0.0,1.83649671,2.44645195,7.6848,13.497395,0.000239,0.000649,1.87584494,2.45166608,4.4188,0.769104,0.380495,9.6e-05,1.79763986,2.43749725
CAC 40,BB-R2,10.0,0.05,5.7999,2.656546,0.103124,0.0,1.8850191,2.53681049,7.1984,9.262264,0.002339,0.001861,1.94867032,2.58149947,4.4188,0.769104,0.380495,1.3e-05,1.82216276,2.46491951
CAC 40,BB-R2,15.0,0.05,5.7516,2.351697,0.125147,0.0,1.88925011,2.47380466,7.393,10.871395,0.000977,0.000252,1.93064587,2.49070155,4.1306,1.756164,0.185104,0.000221,1.8483713,2.4439404
CAC 40,BB-R2,20.0,0.05,5.7999,2.656546,0.103124,3e-06,1.8866078,2.50251406,7.1984,9.262264,0.002339,0.006097,1.92804556,2.55968841,4.4188,0.769104,0.380495,9.6e-05,1.84568752,2.41053794
CAC 40,BB-R2,30.0,0.05,5.8966,3.319184,0.068476,5e-06,1.89111058,2.44919615,7.2957,10.052447,0.001521,0.002444,1.95362921,2.4847448,4.5149,0.532367,0.465613,0.000857,1.82937268,2.39246957
CAC 40,BB-R2,35.0,0.05,5.9449,3.676703,0.055178,6e-06,1.87208898,2.46147063,7.1984,9.262264,0.002339,0.001861,1.92959126,2.48762778,4.707,0.191716,0.661492,0.001579,1.8153048,2.42196799
CAC 40,BB-R2,40.0,0.05,6.0899,4.852465,0.027607,0.0,1.90132875,2.46420885,7.4903,11.718761,0.000619,0.000349,1.96347298,2.52689514,4.707,0.191716,0.661492,0.000284,1.83996057,2.36570182
CAC 40,VaRGARCH_N,,0.05,5.6066,1.544717,0.213917,1e-06,1.85626949,2.45108335,6.323,3.50766,0.061086,0.000497,1.91852251,2.52802593,4.8991,0.02244,0.880923,0.000555,1.79479388,2.35301927
CAC 40,VaRGARCH_S,,0.05,3.5766,9.755614,0.001788,7e-06,2.26338572,2.70566084,4.3774,0.874039,0.34984,0.000487,2.31891447,2.80261292,2.7858,12.708393,0.000364,0.007419,2.20855041,2.55521795
CAC 40,VaReGARCH_N,,0.05,5.4132,0.725191,0.394447,5e-06,1.85182226,2.48728506,6.323,3.50766,0.061086,0.000497,1.89488058,2.54090523,4.5149,0.532367,0.465613,0.004501,1.80930164,2.41312951
CAC 40,VaReGARCH_S,,0.05,3.1899,16.28381,5.5e-05,3e-05,2.26966841,2.77233815,4.2802,1.17646,0.278078,0.000346,2.29218114,2.82223781,2.1134,23.112839,2e-06,0.083811,2.24743682,2.67253884
CAC 40,VaRgGARCH_N,,0.05,5.7516,2.351697,0.125147,3.2e-05,1.85782744,2.35889244,6.1284,2.578899,0.108297,0.004415,1.93495953,2.44969604,5.3794,0.30825,0.578756,0.002476,1.78165858,2.25673839
CAC 40,VaRgGARCH_S,,0.05,3.2866,14.47258,0.000142,0.000311,2.19592921,2.73657611,3.5019,5.400991,0.020125,0.007532,2.27054244,2.98960582,3.074,9.369766,0.002206,0.016033,2.12224776,2.4519177
CAC 40,VaRaGARCH_N,,0.05,5.4616,0.902144,0.342208,0.0,1.84877661,2.46604969,6.2257,3.026616,0.081909,7.7e-05,1.90025153,2.5289406,4.707,0.191716,0.661492,0.001579,1.79794452,2.38390645
CAC 40,VaRaGARCH_S,,0.05,3.5766,9.755614,0.001788,7e-06,2.22605844,2.72660264,4.572,0.407681,0.523149,0.000154,2.26765448,2.78282555,2.5937,15.285355,9.2e-05,0.033015,2.18498186,2.62873313
CAC 40,BB-R2,1.0,0.01,2.5616,35.600349,0.0,0.000317,2.60719378,3.44980584,3.2101,32.04731,0.0,0.021208,2.54596404,3.69769863,1.9212,7.028132,0.008024,0.005134,2.66765888,3.04078274
CAC 40,BB-R2,5.0,0.01,2.2233,23.201203,1e-06,0.000423,2.7249674,3.51513132,3.0156,27.419526,0.0,0.013142,2.62662083,3.53806845,1.4409,1.798973,0.179837,0.016203,2.82208581,3.4677279
CAC 40,BB-R2,10.0,0.01,2.03,17.076082,3.6e-05,0.010386,2.81491515,3.78704555,2.9183,25.204427,1e-06,0.285141,2.69354053,3.82347147,1.1527,0.233809,0.628714,0.005905,2.93477405,3.69598075
CAC 40,BB-R2,15.0,0.01,1.9333,14.300933,0.000156,7.8e-05,2.81891148,3.68328428,2.9183,25.204427,1e-06,0.010172,2.67885587,3.67446347,0.9606,0.016527,0.897707,0.002529,2.95721808,3.70974669
CAC 40,BB-R2,20.0,0.01,1.9333,14.300933,0.000156,0.007124,2.83043025,3.74382832,2.821,23.058011,2e-06,0.252133,2.69318813,3.81014662,1.0567,0.033162,0.8555,0.00395,2.96595849,3.56898917
CAC 40,BB-R2,30.0,0.01,1.9333,14.300933,0.000156,0.000835,2.81939694,3.70501741,2.9183,25.204427,1e-06,0.062926,2.68904373,3.70344098,0.9606,0.016527,0.897707,0.002529,2.9481223,3.70974669
CAC 40,BB-R2,35.0,0.01,1.9816,15.663622,7.6e-05,0.001068,2.80738923,3.69551702,2.821,23.058011,2e-06,0.051873,2.67247602,3.69367436,1.1527,0.233809,0.628714,0.005905,2.94061764,3.69997012
CAC 40,BB-R2,40.0,0.01,2.03,17.076082,3.6e-05,0.000142,2.82584036,3.65595267,2.9183,25.204427,1e-06,0.010172,2.71350677,3.70505973,1.1527,0.233809,0.628714,0.005905,2.93677113,3.533185
CAC 40,VaRGARCH_N,,0.01,2.1266,20.045727,8e-06,0.002138,2.52814983,3.21696175,2.9183,25.204427,1e-06,0.062926,2.59270071,3.20094479,1.3449,1.128653,0.288063,0.0119,2.46440507,3.25128379
CAC 40,VaRGARCH_S,,0.01,0.7733,1.164754,0.280482,0.005109,3.71847252,3.85284999,0.9728,0.007774,0.929743,0.65743,3.76239283,3.88485191,0.5764,2.226755,0.135638,0.000207,3.67510068,3.79951347
CAC 40,VaReGARCH_N,,0.01,2.175,21.600747,3e-06,0.002657,2.52384859,3.22071855,3.0156,27.419526,0.0,0.075635,2.5584914,3.21598046,1.3449,1.128653,0.288063,0.0119,2.4896384,3.23121003
CAC 40,VaReGARCH_S,,0.01,0.7733,1.164754,0.280482,0.112067,3.74897693,4.37505236,1.07,0.0498,0.823412,0.625514,3.72856989,4.72244256,0.4803,3.51506,0.060813,0.015005,3.76912913,3.6107939
CAC 40,VaRgGARCH_N,,0.01,2.2233,23.201203,1e-06,0.020595,2.53468185,3.08421303,2.821,23.058011,2e-06,0.252133,2.62689228,3.17360366,1.633,3.537409,0.059999,0.028114,2.44362295,2.93172315
CAC 40,VaRgGARCH_S,,0.01,1.015,0.004669,0.945525,0.209091,3.5453176,3.5046866,1.2646,0.670753,0.412789,0.563698,3.63032473,3.67897945,0.7685,0.612426,0.433876,0.047395,3.46137205,3.22146072
CAC 40,VaRaGARCH_N,,0.01,2.2233,23.201203,1e-06,0.003281,2.51745372,3.23113554,3.0156,27.419526,0.0,0.075635,2.56560538,3.20857498,1.4409,1.798973,0.179837,0.016203,2.46990338,3.27776068
CAC 40,VaRaGARCH_S,,0.01,0.87,0.369497,0.543279,0.008636,3.63449693,4.32684935,1.07,0.0498,0.823412,0.625514,3.65427325,4.72244256,0.6724,1.275276,0.258779,0.000451,3.61496757,3.70520286
