dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
BRVM Finance,BB-R2,1.0,0.05,4.1537,3.074111,0.079548,0.415519,1.35717462,1.58922294,3.5408,4.631702,0.031386,0.867703,1.55979857,1.97445503,4.7284,0.157124,0.691819,0.337985,1.16718919,1.31874083
BRVM Finance,BB-R2,5.0,0.05,4.2575,2.348624,0.125394,0.778084,1.36510282,1.57105416,3.5408,4.631702,0.031386,0.867703,1.56030822,1.96407782,4.9296,0.010425,0.918677,0.771327,1.18207322,1.30636476
BRVM Finance,BB-R2,10.0,0.05,4.4652,1.201058,0.27311,0.9332,1.38895639,1.55400693,3.97,2.2332,0.135074,0.669291,1.60405462,1.93280624,4.9296,0.010425,0.918677,0.703311,1.18727475,1.26797479
BRVM Finance,BB-R2,15.0,0.05,4.3094,2.024244,0.154806,0.742802,1.40020511,1.56836991,3.5408,4.631702,0.031386,0.867703,1.62439685,1.96890379,5.0302,0.001903,0.965209,0.722491,1.18999716,1.30401754
BRVM Finance,BB-R2,20.0,0.05,3.8941,5.349971,0.020723,0.179319,1.39943704,1.61677279,3.5408,4.631702,0.031386,0.867703,1.6271633,1.98302447,4.2254,1.322451,0.250153,0.054055,1.18591503,1.32900361
BRVM Finance,BB-R2,30.0,0.05,4.0498,3.903942,0.048173,0.924432,1.40630841,1.61023867,3.4335,5.384101,0.020321,0.920278,1.63939315,2.01328753,4.6278,0.297033,0.585748,0.924367,1.18776216,1.32985686
BRVM Finance,BB-R2,35.0,0.05,3.9979,4.358782,0.036819,0.961976,1.40597204,1.60236052,3.3262,6.201232,0.012766,0.973698,1.63583918,2.01324953,4.6278,0.297033,0.585748,0.924367,1.19044269,1.32545705
BRVM Finance,BB-R2,40.0,0.05,4.2056,2.698479,0.100444,0.813955,1.40660697,1.59508799,3.6481,3.942143,0.047091,0.816156,1.63538281,1.9825287,4.7284,0.157124,0.691819,0.87244,1.19210086,1.31481173
BRVM Finance,VaRGARCH_N,,0.05,3.1672,15.572174,7.9e-05,0.447238,1.39122808,1.73464389,3.5408,4.631702,0.031386,0.119342,1.52650141,1.95707595,2.8169,11.762066,0.000605,0.814567,1.26439233,1.47249181
BRVM Finance,VaRGARCH_S,,0.05,2.648,26.876848,0.0,0.095674,1.4945927,1.77815872,3.0043,9.061853,0.00261,0.187556,1.64672668,1.98468844,2.3139,18.704431,1.5e-05,0.296289,1.35194796,1.52673124
