dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
S&P 500,BB-R2,1.0,0.05,6.5444,9.26942,0.00233,0.070161,1.80344631,2.43815437,7.7232,13.442984,0.000246,0.096079,1.76550263,2.43823896,5.3922,0.322365,0.57019,0.545653,1.84053441,2.43803594
S&P 500,BB-R2,5.0,0.05,6.2965,6.618925,0.01009,0.280805,1.83378034,2.52668369,7.0211,7.658495,0.005651,0.338487,1.7687278,2.60411072,5.5882,0.716951,0.397146,0.641858,1.89736602,2.43159786
S&P 500,BB-R2,10.0,0.05,6.2965,6.618925,0.01009,0.080104,1.82153084,2.48257946,7.4223,10.787963,0.001022,0.058167,1.77932088,2.50708734,5.1961,0.081557,0.775199,0.87866,1.86278901,2.44836091
S&P 500,BB-R2,15.0,0.05,6.6931,11.055215,0.000884,0.023103,1.82343689,2.4608456,7.7232,13.442984,0.000246,0.015723,1.7687029,2.49372392,5.6863,0.970306,0.324604,0.692026,1.87693668,2.4171968
S&P 500,BB-R2,20.0,0.05,6.1973,5.675527,0.017203,0.029166,1.83241881,2.50066007,7.5226,11.64425,0.000644,0.027748,1.76032,2.54545222,4.902,0.020769,0.88541,0.722013,1.90289186,2.43347186
S&P 500,BB-R2,30.0,0.05,6.1973,5.675527,0.017203,0.128166,1.8522439,2.52582775,6.8205,6.276579,0.012234,0.123907,1.80083448,2.64361122,5.5882,0.716951,0.397146,0.641858,1.90249408,2.38531413
S&P 500,BB-R2,35.0,0.05,6.6435,10.443925,0.001231,0.087939,1.84655283,2.47794494,7.6229,12.529373,0.000401,0.081762,1.7775703,2.52798038,5.6863,0.970306,0.324604,0.692026,1.91397986,2.41238125
S&P 500,BB-R2,40.0,0.05,6.1477,5.229351,0.022209,0.11569,1.85526691,2.53146218,7.0211,7.658495,0.005651,0.165214,1.8003165,2.61182288,5.2941,0.182406,0.669313,0.499987,1.90897823,2.4272909
S&P 500,VaRGARCH_N,,0.05,5.2553,0.272478,0.601674,0.02985,1.85929267,2.52240177,5.6169,0.769337,0.380422,0.04353,1.86672021,2.68033138,4.902,0.020769,0.88541,0.33703,1.85203261,2.3455206
S&P 500,VaRGARCH_S,,0.05,3.3713,12.658769,0.000374,0.032723,2.22551269,2.58693637,3.5105,5.17469,0.022918,0.036571,2.34373209,2.59694072,3.2353,7.601321,0.005833,0.402785,2.10995903,2.57632569
