dataset,model,block,alpha,global_viol_rate,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_rate,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_rate,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
Composite,Q-BB,1.0,0.05,1.8109,0.0,0.169,1.569493,1.754041,1.232,0.0,0.5841,1.818329,2.538333,2.3669,0.0,0.1254,1.330474,1.361895
Composite,VaRGARCH_N,,0.05,3.7726,0.0088,0.4947,1.13107,1.453882,3.5934,0.0343,0.5257,1.216389,1.708685,3.9448,0.11,0.7372,1.049117,1.23093
Composite,VaRGARCH_S,,0.05,1.8612,0.0,0.0045,1.360096,1.708632,2.0534,0.0,0.0645,1.470256,1.946002,1.6765,0.0,0.0297,1.25428,1.429374
Composite,VaReGARCH_N,,0.05,3.7223,0.0063,0.2039,1.130565,1.464391,3.5934,0.0343,0.1665,1.214278,1.732624,3.8462,0.0794,0.6861,1.050154,1.223669
Composite,VaReGARCH_S,,0.05,1.8109,0.0,0.169,1.367717,1.718728,1.7454,0.0,0.4368,1.478852,2.078361,1.8738,0.0,0.0479,1.260966,1.396952
Composite,VaRgGARCH_N,,0.05,3.5714,0.0021,0.1531,1.136652,1.457159,3.4908,0.0226,0.4792,1.223236,1.700469,3.6489,0.0385,0.1996,1.053483,1.233577
Composite,VaRgGARCH_S,,0.05,1.8109,0.0,0.0036,1.357672,1.678487,1.9507,0.0,0.052,1.471935,1.901377,1.6765,0.0,0.0297,1.247916,1.429374
Composite,VaRaGARCH_N,,0.05,3.7223,0.0063,0.4638,1.129654,1.439037,3.3881,0.0145,0.4346,1.214522,1.712577,4.0434,0.1488,0.789,1.048135,1.21887
Composite,VaRaGARCH_S,,0.05,1.8109,0.0,0.0036,1.358903,1.726635,2.0534,0.0,0.0645,1.468016,1.946002,1.5779,0.0,0.0228,1.254094,1.452428
Composite,Q-BB,1.0,0.01,0.6036,0.0552,0.7026,2.041243,2.356478,0.616,0.1948,0.785,2.373001,3.013835,0.5917,0.1573,0.7892,1.722573,1.699121
Composite,VaRGARCH_N,,0.01,1.006,0.9784,0.1957,1.560837,2.003555,0.924,0.8093,0.6818,1.691285,2.490285,1.0848,0.7889,0.1045,1.435535,1.605322
Composite,VaRGARCH_S,,0.01,0.2012,0.0,0.8989,2.225235,2.974498,0.2053,0.0024,0.9277,2.419301,3.622654,0.1972,0.0017,0.9291,2.038823,2.326341
Composite,VaReGARCH_N,,0.01,1.006,0.9784,0.1957,1.559971,2.00723,1.0267,0.9336,0.6486,1.687643,2.375108,0.9862,0.9647,0.0833,1.437336,1.639352
Composite,VaReGARCH_S,,0.01,0.2515,0.0001,0.8738,2.249684,2.720811,0.308,0.011,0.8916,2.449133,2.983791,0.1972,0.0017,0.9291,2.058103,2.326341
Composite,VaRgGARCH_N,,0.01,1.0563,0.8025,0.2185,1.569097,1.975659,1.1294,0.691,0.616,1.701081,2.308237,0.9862,0.9647,0.0833,1.44232,1.609824
Composite,VaRgGARCH_S,,0.01,0.2012,0.0,0.8989,2.212684,2.974498,0.2053,0.0024,0.9277,2.415597,3.622654,0.1972,0.0017,0.9291,2.017775,2.326341
Composite,VaRaGARCH_N,,0.01,0.9557,0.8416,0.1741,1.559061,2.042425,0.924,0.8093,0.6818,1.688947,2.490285,0.9862,0.9647,0.0833,1.4343,1.639352
Composite,VaRaGARCH_S,,0.01,0.3018,0.0002,0.8488,2.221711,2.620815,0.4107,0.0361,0.8558,2.412404,2.768052,0.1972,0.0017,0.9291,2.038541,2.326341
