dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
BRVM Composite,Q-BB,1.0,0.05,1.8109,55.779315,0.0,0.169033,1.56949336,1.75404078,1.232,41.218216,0.0,0.584073,1.81832889,2.53833254,2.3669,18.235446,2e-05,0.125384,1.33047383,1.3618949
BRVM Composite,Q-BB,5.0,0.05,3.9235,5.220423,0.022323,0.287564,1.10979576,1.43541257,3.2854,6.823248,0.008998,0.392014,1.24700937,1.78167132,4.5365,0.472719,0.491739,0.532998,0.97799491,1.19453693
BRVM Composite,Q-BB,10.0,0.05,4.2757,2.304372,0.12901,0.477556,1.06696246,1.40193359,3.5934,4.478681,0.03432,0.525687,1.20009558,1.73161114,4.931,0.010218,0.919484,0.729548,0.93908115,1.1711593
BRVM Composite,Q-BB,15.0,0.05,4.6278,0.594066,0.440851,0.713682,1.05882987,1.36246218,3.9014,2.6682,0.102372,0.674381,1.18665788,1.67672731,5.3254,0.221597,0.637826,0.940111,0.93604437,1.14131265
BRVM Composite,Q-BB,20.0,0.05,4.7787,0.207951,0.648378,0.824003,1.05256219,1.35495629,4.1068,1.737579,0.187446,0.779146,1.18460395,1.64454059,5.4241,0.374023,0.540819,0.993257,0.92572918,1.14434952
BRVM Composite,Q-BB,30.0,0.05,4.7284,0.314247,0.575086,0.460803,1.04772135,1.35924702,4.2094,1.351129,0.245081,0.832537,1.16456957,1.631119,5.2268,0.108292,0.742097,0.462822,0.93548253,1.14893097
BRVM Composite,Q-BB,35.0,0.05,4.6278,0.594066,0.440851,0.894052,1.04792822,1.35858673,4.0041,2.176177,0.140162,0.726349,1.17460666,1.6534437,5.2268,0.108292,0.742097,0.607952,0.92624697,1.1416165
BRVM Composite,Q-BB,40.0,0.05,4.7787,0.207951,0.648378,0.785505,1.05533358,1.35282552,4.3121,1.015607,0.313563,0.886286,1.18030483,1.61602774,5.2268,0.108292,0.742097,0.607952,0.93529215,1.14425019
BRVM Composite,VaRGARCH_N,,0.05,3.7726,6.86429,0.008794,0.49473,1.13106982,1.45388234,3.5934,4.478681,0.03432,0.525687,1.21638862,1.7086848,3.9448,2.554698,0.109967,0.737201,1.04911664,1.2309302
BRVM Composite,VaRGARCH_S,,0.05,1.8612,53.710048,0.0,0.004482,1.36009562,1.70863218,2.0534,22.683253,2e-06,0.064482,1.47025638,1.94600166,1.6765,31.413218,0.0,0.029681,1.25428046,1.42937397
BRVM Composite,VaReGARCH_N,,0.05,3.7223,7.467207,0.006283,0.203884,1.13056507,1.46439061,3.5934,4.478681,0.03432,0.166522,1.21427827,1.7326235,3.8462,3.077121,0.079401,0.686116,1.05015417,1.22366879
BRVM Composite,VaReGARCH_S,,0.05,1.8109,55.779315,0.0,0.169033,1.36771695,1.71872832,1.7454,28.689988,0.0,0.436815,1.47885157,2.07836062,1.8738,27.135413,0.0,0.047886,1.26096635,1.39695205
BRVM Composite,VaRgGARCH_N,,0.05,3.5714,9.445885,0.002116,0.153085,1.13665194,1.45715921,3.4908,5.19865,0.022604,0.479218,1.2232363,1.70046912,3.6489,4.283332,0.038488,0.199597,1.05348314,1.23357712
BRVM Composite,VaRgGARCH_S,,0.05,1.8109,55.779315,0.0,0.003601,1.3576721,1.67848692,1.9507,24.576141,1e-06,0.05196,1.4719352,1.90137745,1.6765,31.413218,0.0,0.029681,1.24791641,1.42937397
BRVM Composite,VaRaGARCH_N,,0.05,3.7223,7.467207,0.006283,0.463789,1.12965438,1.43903665,3.3881,5.979578,0.014472,0.434608,1.21452169,1.71257659,4.0434,2.084333,0.148817,0.789034,1.04813488,1.21887036
BRVM Composite,VaRaGARCH_S,,0.05,1.8109,55.779315,0.0,0.003601,1.3589031,1.72663537,2.0534,22.683253,2e-06,0.064482,1.46801639,1.94600166,1.5779,33.72843,0.0,0.022769,1.25409408,1.45242751
BRVM Composite,Q-BB,1.0,0.01,0.6036,3.676127,0.055197,0.702559,2.04124346,2.35647802,0.616,1.680708,0.19483,0.784954,2.37300121,3.01383546,0.5917,2.000308,0.157267,0.789165,1.72257279,1.69912058
BRVM Composite,Q-BB,5.0,0.01,1.0563,0.062583,0.802458,0.502984,1.77615743,2.08235916,0.924,0.05827,0.809251,0.681849,2.0382932,2.7642259,1.1834,0.325496,0.568323,0.591686,1.52436232,1.5709591
BRVM Composite,Q-BB,10.0,0.01,1.1066,0.220728,0.638486,0.482756,1.72616753,2.03754505,0.924,0.05827,0.809251,0.681849,1.99376061,2.7642259,1.2821,0.748151,0.387062,0.56098,1.46913039,1.53445831
BRVM Composite,Q-BB,15.0,0.01,1.2072,0.808933,0.368436,0.294367,1.69218218,1.99192923,0.924,0.05827,0.809251,0.681849,1.95447019,2.7642259,1.4793,2.050433,0.152163,0.215012,1.44024084,1.52855123
BRVM Composite,Q-BB,20.0,0.01,1.2575,1.231412,0.267133,0.0389,1.67710646,1.98972139,1.0267,0.00695,0.933562,0.087236,1.93107281,2.68147665,1.4793,2.050433,0.152163,0.215012,1.4331585,1.52855123
BRVM Composite,Q-BB,30.0,0.01,1.3581,2.316413,0.128015,0.053666,1.64401456,1.93949948,1.0267,0.00695,0.933562,0.087236,1.91218975,2.68147665,1.6765,3.895648,0.048411,0.285314,1.38641827,1.50304233
BRVM Composite,Q-BB,35.0,0.01,1.4588,3.702061,0.054345,0.072,1.64205692,1.91850905,1.232,0.493274,0.482471,0.134182,1.90699695,2.53588637,1.6765,3.895648,0.048411,0.285314,1.38756817,1.48271329
BRVM Composite,Q-BB,40.0,0.01,1.4085,2.973005,0.084664,0.062363,1.63867447,1.90176898,1.1294,0.158039,0.690969,0.109345,1.89646391,2.5494005,1.6765,3.895648,0.048411,0.285314,1.39105424,1.48271329
BRVM Composite,VaRGARCH_N,,0.01,1.006,0.00073,0.978442,0.19571,1.56083699,2.00355497,0.924,0.05827,0.809251,0.681849,1.69128533,2.49028455,1.0848,0.071697,0.788882,0.104468,1.43553455,1.60532168
BRVM Composite,VaRGARCH_S,,0.01,0.2012,19.060428,1.3e-05,0.898915,2.22523458,2.97449786,0.2053,9.209587,0.002408,0.927676,2.41930117,3.62265434,0.1972,9.852464,0.001696,0.929118,2.03882348,2.32634139
BRVM Composite,VaReGARCH_N,,0.01,1.006,0.00073,0.978442,0.19571,1.55997136,2.00723002,1.0267,0.00695,0.933562,0.648586,1.68764333,2.37510804,0.9862,0.001961,0.964675,0.083339,1.43733576,1.639352
BRVM Composite,VaReGARCH_S,,0.01,0.2515,16.069455,6.1e-05,0.873803,2.24968444,2.72081132,0.308,6.461229,0.011025,0.891645,2.44913328,2.98379128,0.1972,9.852464,0.001696,0.929118,2.0581034,2.32634139
BRVM Composite,VaRgGARCH_N,,0.01,1.0563,0.062583,0.802458,0.218548,1.56909737,1.97565928,1.1294,0.158039,0.690969,0.615975,1.7010812,2.30823718,0.9862,0.001961,0.964675,0.083339,1.44232,1.60982358
BRVM Composite,VaRgGARCH_S,,0.01,0.2012,19.060428,1.3e-05,0.898915,2.21268352,2.97449786,0.2053,9.209587,0.002408,0.927676,2.41559687,3.62265434,0.1972,9.852464,0.001696,0.929118,2.01777463,2.32634139
BRVM Composite,VaRaGARCH_N,,0.01,0.9557,0.039935,0.841608,0.17414,1.55906132,2.04242531,0.924,0.05827,0.809251,0.681849,1.68894666,2.49028455,0.9862,0.001961,0.964675,0.083339,1.43429966,1.639352
BRVM Composite,VaRaGARCH_S,,0.01,0.3018,13.482201,0.000241,0.848804,2.22171145,2.62081486,0.4107,4.394527,0.036054,0.855799,2.41240393,2.7680516,0.1972,9.852464,0.001696,0.929118,2.03854135,2.32634139
