dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
CAC 40,Q-BB,1.0,0.05,1.7883,59.036984,0.0,3e-05,3.06697082,4.02142205,2.6265,14.63934,0.00013,0.00437,2.91170104,4.07502744,0.9606,52.87075,0.0,0.002529,3.22030159,3.87668749
CAC 40,Q-BB,5.0,0.05,4.3983,1.641034,0.200184,2.9e-05,2.07336435,2.81819909,5.3502,0.259738,0.6103,0.002052,2.14170549,2.92055556,3.4582,5.813701,0.015902,0.00712,2.00587666,2.66182115
CAC 40,Q-BB,10.0,0.05,4.8816,0.061539,0.804079,1.9e-05,1.96222722,2.73863561,5.7393,1.131412,0.287474,0.005956,2.02326273,2.90124345,4.0346,2.180832,0.139739,0.001055,1.90195391,2.5102103
CAC 40,Q-BB,15.0,0.05,4.8816,0.061539,0.804079,0.000331,1.94898492,2.74471658,5.7393,1.131412,0.287474,0.169379,2.0381935,2.9309414,4.0346,2.180832,0.139739,0.000153,1.86089038,2.48311505
CAC 40,Q-BB,20.0,0.05,5.1232,0.065656,0.79777,7.1e-05,1.92059061,2.73288143,5.8366,1.440722,0.230023,0.076006,2.0124992,2.92119042,4.4188,0.769104,0.380495,9.6e-05,1.82982976,2.48726101
CAC 40,Q-BB,30.0,0.05,5.7032,2.064681,0.150746,0.001016,1.91251696,2.60874824,6.4202,4.021551,0.044922,0.028417,1.98226952,2.79823268,4.9952,5.1e-05,0.994326,0.01519,1.84363546,2.36824875
CAC 40,Q-BB,35.0,0.05,5.6549,1.79564,0.180241,0.000831,1.92046479,2.63788422,6.4202,4.021551,0.044922,0.077424,2.01746992,2.83073697,4.8991,0.02244,0.880923,0.002797,1.82467106,2.38831008
CAC 40,Q-BB,40.0,0.05,5.7516,2.351697,0.125147,8e-06,1.9292791,2.59521513,6.7121,5.755735,0.016435,0.001642,2.02661423,2.73707957,4.8031,0.086068,0.769237,0.002112,1.83315948,2.3994422
CAC 40,VaRGARCH_N,,0.05,5.6066,1.544717,0.213917,1e-06,1.85626949,2.45108335,6.323,3.50766,0.061086,0.000497,1.91852251,2.52802593,4.8991,0.02244,0.880923,0.000555,1.79479388,2.35301927
CAC 40,VaRGARCH_S,,0.05,3.5766,9.755614,0.001788,7e-06,2.26338572,2.70566084,4.3774,0.874039,0.34984,0.000487,2.31891447,2.80261292,2.7858,12.708393,0.000364,0.007419,2.20855041,2.55521795
