dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
BRVM Finance,Q-BB,1.0,0.05,0.8307,106.637525,0.0,0.604537,1.86936243,1.93326171,0.4292,67.575097,0.0,0.852605,2.17828527,2.71532476,1.2072,42.779127,0.0,0.587932,1.57970841,1.67257402
BRVM Finance,Q-BB,5.0,0.05,3.4268,11.227632,0.000806,0.627813,1.47481847,1.65873972,3.0043,9.061853,0.00261,0.862993,1.71374679,2.027549,3.8229,3.144543,0.076181,0.654809,1.25079312,1.38698552
BRVM Finance,Q-BB,10.0,0.05,3.6864,7.668273,0.00562,0.810739,1.43253073,1.61730447,3.0043,9.061853,0.00261,0.862993,1.66627173,2.027549,4.326,0.994212,0.318715,0.91675,1.21336915,1.3501685
BRVM Finance,Q-BB,15.0,0.05,3.8941,5.349971,0.020723,0.962322,1.42320898,1.60311663,3.2189,7.08511,0.007773,0.972232,1.65663892,1.99658057,4.5272,0.482534,0.487277,0.97695,1.20433905,1.34080734
BRVM Finance,Q-BB,20.0,0.05,3.7383,7.045789,0.007945,0.646736,1.41692294,1.61703488,3.2189,7.08511,0.007773,0.972232,1.65186531,1.99669646,4.2254,1.322451,0.250153,0.509984,1.19663493,1.34584803
BRVM Finance,Q-BB,30.0,0.05,3.8941,5.349971,0.020723,0.553246,1.41600228,1.61424886,3.4335,5.384101,0.020321,0.920278,1.65147417,1.97974178,4.326,0.994212,0.318715,0.471942,1.19521777,1.34225412
BRVM Finance,Q-BB,35.0,0.05,3.8422,5.887013,0.015253,0.924324,1.41276055,1.59316422,3.1116,8.037885,0.004581,0.917723,1.64520599,2.00473471,4.5272,0.482534,0.487277,0.97695,1.19481371,1.32792989
BRVM Finance,Q-BB,40.0,0.05,3.8941,5.349971,0.020723,0.962322,1.41113057,1.59969159,3.2189,7.08511,0.007773,0.972232,1.64523187,1.99562641,4.5272,0.482534,0.487277,0.97695,1.19163117,1.33573505
BRVM Finance,VaRGARCH_N,,0.05,3.1672,15.572174,7.9e-05,0.447238,1.39122808,1.73464389,3.5408,4.631702,0.031386,0.119342,1.52650141,1.95707595,2.8169,11.762066,0.000605,0.814567,1.26439233,1.47249181
BRVM Finance,VaRGARCH_S,,0.05,2.648,26.876848,0.0,0.095674,1.4945927,1.77815872,3.0043,9.061853,0.00261,0.187556,1.64672668,1.98468844,2.3139,18.704431,1.5e-05,0.296289,1.35194796,1.52673124
BRVM Finance,VaReGARCH_N,,0.05,3.3749,12.031874,0.000523,0.033036,1.3928171,1.68162891,3.7554,3.313644,0.068707,0.098167,1.52365144,1.88695939,3.0181,9.5197,0.002033,0.171537,1.27014346,1.44207668
