dataset,model,block,alpha,global_viol_pct,global_kupiec_lr,global_kupiec_p,global_christ_p,global_mae,global_es,pre2022_viol_pct,pre2022_kupiec_lr,pre2022_kupiec_p,pre2022_christ_p,pre2022_mae,pre2022_es,post2022_viol_pct,post2022_kupiec_lr,post2022_kupiec_p,post2022_christ_p,post2022_mae,post2022_es
S&P 500,Q-BB,1.0,0.05,1.8344,55.603355,0.0,0.004242,3.01281769,3.9918496,2.4072,17.312872,3.2e-05,0.018383,2.96826431,4.14260561,1.2745,41.932306,0.0,0.153551,3.05636644,3.7135308
S&P 500,Q-BB,5.0,0.05,4.4125,1.523508,0.217089,0.006345,2.11319248,2.90822487,5.2156,0.096307,0.756307,0.064959,2.12707095,3.02674282,3.6275,4.454132,0.034817,0.050381,2.09962696,2.74165909
S&P 500,Q-BB,10.0,0.05,5.2553,0.272478,0.601674,0.02985,1.99281211,2.74654586,5.7172,1.033847,0.309257,0.14451,2.00990528,2.89204175,4.8039,0.083602,0.772474,0.110343,1.97610438,2.57729553
S&P 500,Q-BB,15.0,0.05,5.5528,1.25468,0.262661,0.010696,1.95009197,2.68426235,6.319,3.382067,0.065909,0.018578,1.95464058,2.79293046,4.8039,0.083602,0.772474,0.301743,1.94564592,2.54454621
S&P 500,Q-BB,20.0,0.05,5.8999,3.258901,0.071037,0.012248,1.92947239,2.64614683,6.5196,4.441573,0.035074,0.028214,1.92784139,2.76132003,5.2941,0.182406,0.669313,0.2222,1.93106661,2.50751243
S&P 500,Q-BB,30.0,0.05,6.3956,7.62955,0.005742,0.022307,1.9050806,2.55048479,7.5226,11.64425,0.000644,0.027748,1.89220237,2.61270305,5.2941,0.182406,0.669313,0.499987,1.91766845,2.46407053
S&P 500,Q-BB,35.0,0.05,6.2469,6.13876,0.013225,0.033348,1.8793564,2.56939963,7.4223,10.787963,0.001022,0.133977,1.86430677,2.61943811,5.098,0.020513,0.886113,0.170881,1.89406667,2.49819104
S&P 500,Q-BB,40.0,0.05,6.2469,6.13876,0.013225,0.071478,1.87511432,2.53479742,7.1214,8.395754,0.003761,0.189214,1.84539177,2.60979113,5.3922,0.322365,0.57019,0.251325,1.90416666,2.43798737
S&P 500,VaRGARCH_N,,0.05,5.2553,0.272478,0.601674,0.02985,1.85929267,2.52240177,5.6169,0.769337,0.380422,0.04353,1.86672021,2.68033138,4.902,0.020769,0.88541,0.33703,1.85203261,2.3455206
S&P 500,VaRGARCH_S,,0.05,3.3713,12.658769,0.000374,0.032723,2.22551269,2.58693637,3.5105,5.17469,0.022918,0.036571,2.34373209,2.59694072,3.2353,7.601321,0.005833,0.402785,2.10995903,2.57632569
S&P 500,VaReGARCH_N,,0.05,5.6024,1.485508,0.222915,0.004581,1.83676405,2.47837612,6.0181,2.04829,0.152377,0.002511,1.83910021,2.6114521,5.1961,0.081557,0.775199,0.456164,1.83448057,2.32772408
